"No.","Time","Source","SrcPort","Destination","DestPort","Protocol","Length","Info","test"
"15","2021-07-20 20:22:59.647008929","PcsCompu_03:cb:a5","","PcsCompu_60:73:28","","ARP","60","10.10.5.12 is at 08:00:27:03:cb:a5","PcsCompu_60:73:28"
"16","2021-07-20 20:22:59.647182493","fe80::6d8e:576d:50b5:128b","49318","fe80::3c1a:e462:6dcc:19c9","2869","TCP","74","49318  >  2869 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","fe80::3c1a:e462:6dcc:19c9"
"17","2021-07-20 20:22:59.647182620","fe80::6d8e:576d:50b5:128b","","fe80::3c1a:e462:6dcc:19c9","","ICMPv6","86","Neighbor Advertisement fe80::6d8e:576d:50b5:128b (sol, ovr) is at 08:00:27:60:73:28","fe80::3c1a:e462:6dcc:19c9"
"18","2021-07-20 20:22:59.647182668","fe80::6d8e:576d:50b5:128b","49319","fe80::6407:7b6:e2ff:9ac8","2869","TCP","74","49319  >  2869 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","fe80::6407:7b6:e2ff:9ac8"
"19","2021-07-20 20:22:59.647182713","fe80::6d8e:576d:50b5:128b","","fe80::6407:7b6:e2ff:9ac8","","ICMPv6","86","Neighbor Advertisement fe80::6d8e:576d:50b5:128b (sol, ovr) is at 08:00:27:60:73:28","fe80::6407:7b6:e2ff:9ac8"
"20","2021-07-20 20:22:59.647182761","10.10.5.11","49323","10.10.5.14","2869","TCP","60","49323  >  2869 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","10.10.5.14"
"21","2021-07-20 20:22:59.647182802","10.10.5.11","49322","10.10.5.12","2869","TCP","60","49322  >  2869 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","10.10.5.12"
"22","2021-07-20 20:22:59.647294887","fe80::3c1a:e462:6dcc:19c9","","fe80::6d8e:576d:50b5:128b","","ICMPv6","86","Neighbor Advertisement fe80::3c1a:e462:6dcc:19c9 (sol, ovr) is at 08:00:27:90:18:5a","fe80::6d8e:576d:50b5:128b"
"23","2021-07-20 20:22:59.647294965","fe80::6407:7b6:e2ff:9ac8","","fe80::6d8e:576d:50b5:128b","","ICMPv6","86","Neighbor Advertisement fe80::6407:7b6:e2ff:9ac8 (sol, ovr) is at 08:00:27:c8:46:cd","fe80::6d8e:576d:50b5:128b"
"24","2021-07-20 20:23:10.247597502","fe80::8056:aad8:3fc6:88bc","5353","ff02::fb","5353","MDNS","203","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question","ff02::fb"
"25","2021-07-20 20:23:10.247681848","10.10.5.10","5353","224.0.0.251","5353","MDNS","183","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question","224.0.0.251"
"26","2021-07-20 20:23:15.313799649","PcsCompu_60:73:28","","Broadcast","","ARP","60","Who has 10.10.5.10? Tell 10.10.5.11","Broadcast"
"27","2021-07-20 20:23:15.313821431","PcsCompu_df:63:fa","","PcsCompu_60:73:28","","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa","PcsCompu_60:73:28"
"28","2021-07-20 20:23:15.314049795","10.10.5.11","49325","10.10.5.10","1291","TCP","62","49325  >  1291 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1","10.10.5.10"
"29","2021-07-20 20:23:15.314072549","10.10.5.10","1291","10.10.5.11","49325","TCP","62","1291  >  49325 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1","10.10.5.11"
"30","2021-07-20 20:23:15.314353491","10.10.5.11","49325","10.10.5.10","1291","TCP","60","49325  >  1291 [ACK] Seq=1 Ack=1 Win=64240 Len=0","10.10.5.10"
"31","2021-07-20 20:23:15.314728067","10.10.5.10","1291","10.10.5.11","49325","TCP","76","1291  >  49325 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=22","10.10.5.11"
"32","2021-07-20 20:23:15.327031953","10.10.5.11","49325","10.10.5.10","1291","TCP","2974","49325  >  1291 [ACK] Seq=1 Ack=23 Win=64218 Len=2920","10.10.5.10"
"33","2021-07-20 20:23:15.327056252","10.10.5.10","1291","10.10.5.11","49325","TCP","54","1291  >  49325 [ACK] Seq=23 Ack=2921 Win=62780 Len=0","10.10.5.11"
"34","2021-07-20 20:23:15.327351425","10.10.5.11","49325","10.10.5.10","1291","TCP","2032","49325  >  1291 [PSH, ACK] Seq=2921 Ack=23 Win=64218 Len=1978","10.10.5.10"
"35","2021-07-20 20:23:15.327361229","10.10.5.10","1291","10.10.5.11","49325","TCP","54","1291  >  49325 [ACK] Seq=23 Ack=4899 Win=61320 Len=0","10.10.5.11"
"36","2021-07-20 20:23:15.328535765","10.10.5.10","1291","10.10.5.11","49325","TCP","69","1291  >  49325 [PSH, ACK] Seq=23 Ack=4899 Win=62780 Len=15","10.10.5.11"
"37","2021-07-20 20:23:15.536624234","10.10.5.10","1291","10.10.5.11","49325","TCP","69","[TCP Retransmission] 1291  >  49325 [PSH, ACK] Seq=23 Ack=4899 Win=62780 Len=15","10.10.5.11"
"38","2021-07-20 20:23:15.536928522","10.10.5.11","49325","10.10.5.10","1291","TCP","66","49325  >  1291 [ACK] Seq=4899 Ack=38 Win=64203 Len=0 SLE=23 SRE=38","10.10.5.10"
"39","2021-07-20 20:23:20.400665885","PcsCompu_df:63:fa","","PcsCompu_60:73:28","","ARP","42","Who has 10.10.5.11? Tell 10.10.5.10","PcsCompu_60:73:28"
"40","2021-07-20 20:23:20.400998992","PcsCompu_60:73:28","","PcsCompu_df:63:fa","","ARP","60","10.10.5.11 is at 08:00:27:60:73:28","PcsCompu_df:63:fa"
"41","2021-07-20 20:23:20.465998554","PcsCompu_03:cb:a5","","Broadcast","","ARP","60","Who has 10.10.5.10? Tell 10.10.5.12","Broadcast"
"42","2021-07-20 20:23:20.466038001","PcsCompu_df:63:fa","","PcsCompu_03:cb:a5","","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa","PcsCompu_03:cb:a5"
"43","2021-07-20 20:23:20.466254093","10.10.5.12","49239","10.10.5.10","1292","TCP","62","49239  >  1292 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1","10.10.5.10"
"44","2021-07-20 20:23:20.466275062","10.10.5.10","1292","10.10.5.12","49239","TCP","62","1292  >  49239 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1","10.10.5.12"
"45","2021-07-20 20:23:20.466577810","10.10.5.12","49239","10.10.5.10","1292","TCP","60","49239  >  1292 [ACK] Seq=1 Ack=1 Win=64240 Len=0","10.10.5.10"
"46","2021-07-20 20:23:20.466900806","10.10.5.10","1292","10.10.5.12","49239","TCP","76","1292  >  49239 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=22","10.10.5.12"
"47","2021-07-20 20:23:20.477704975","10.10.5.12","49239","10.10.5.10","1292","TCP","2974","49239  >  1292 [ACK] Seq=1 Ack=23 Win=64218 Len=2920","10.10.5.10"
"48","2021-07-20 20:23:20.477728010","10.10.5.10","1292","10.10.5.12","49239","TCP","54","1292  >  49239 [ACK] Seq=23 Ack=2921 Win=62780 Len=0","10.10.5.12"
"49","2021-07-20 20:23:20.477983812","10.10.5.12","49239","10.10.5.10","1292","TCP","1259","49239  >  1292 [PSH, ACK] Seq=2921 Ack=23 Win=64218 Len=1205","10.10.5.10"
"50","2021-07-20 20:23:20.477994846","10.10.5.10","1292","10.10.5.12","49239","TCP","54","1292  >  49239 [ACK] Seq=23 Ack=4126 Win=61575 Len=0","10.10.5.12"
"51","2021-07-20 20:23:20.481544174","10.10.5.10","1292","10.10.5.12","49239","TCP","69","1292  >  49239 [PSH, ACK] Seq=23 Ack=4126 Win=62780 Len=15","10.10.5.12"
"52","2021-07-20 20:23:20.675695358","10.10.5.12","49239","10.10.5.10","1292","TCP","60","49239  >  1292 [ACK] Seq=4126 Ack=38 Win=64203 Len=0","10.10.5.10"
"53","2021-07-20 20:23:22.239971414","PcsCompu_03:cb:a5","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.12","Broadcast"
"54","2021-07-20 20:23:22.242519789","PcsCompu_03:cb:a5","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.12","Broadcast"
"55","2021-07-20 20:23:23.051483464","PcsCompu_03:cb:a5","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.12","Broadcast"
"56","2021-07-20 20:23:23.789655944","10.10.5.11","138","10.10.5.255","138","BROWSER","220","Become Backup Browser","10.10.5.255"
"57","2021-07-20 20:23:24.051344178","PcsCompu_03:cb:a5","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.12","Broadcast"
"58","2021-07-20 20:23:25.239010399","PcsCompu_c8:46:cd","","Broadcast","","ARP","60","Who has 10.10.5.10? Tell 10.10.5.13","Broadcast"
"59","2021-07-20 20:23:25.239054957","PcsCompu_df:63:fa","","PcsCompu_c8:46:cd","","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa","PcsCompu_c8:46:cd"
"60","2021-07-20 20:23:25.239306655","10.10.5.13","49234","10.10.5.10","1293","TCP","62","49234  >  1293 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1","10.10.5.10"
"61","2021-07-20 20:23:25.239336877","10.10.5.10","1293","10.10.5.13","49234","TCP","62","1293  >  49234 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1","10.10.5.13"
"62","2021-07-20 20:23:25.239691505","10.10.5.13","49234","10.10.5.10","1293","TCP","60","49234  >  1293 [ACK] Seq=1 Ack=1 Win=64240 Len=0","10.10.5.10"
"63","2021-07-20 20:23:25.240665465","10.10.5.10","1293","10.10.5.13","49234","TCP","76","1293  >  49234 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=22","10.10.5.13"
"64","2021-07-20 20:23:25.250248551","10.10.5.13","49234","10.10.5.10","1293","TCP","2974","49234  >  1293 [ACK] Seq=1 Ack=23 Win=64218 Len=2920","10.10.5.10"
"65","2021-07-20 20:23:25.250317892","10.10.5.10","1293","10.10.5.13","49234","TCP","54","1293  >  49234 [ACK] Seq=23 Ack=2921 Win=62780 Len=0","10.10.5.13"
"66","2021-07-20 20:23:25.250592788","10.10.5.13","49234","10.10.5.10","1293","TCP","1271","49234  >  1293 [PSH, ACK] Seq=2921 Ack=23 Win=64218 Len=1217","10.10.5.10"
"67","2021-07-20 20:23:25.250602076","10.10.5.10","1293","10.10.5.13","49234","TCP","54","1293  >  49234 [ACK] Seq=23 Ack=4138 Win=62780 Len=0","10.10.5.13"
"68","2021-07-20 20:23:25.250630427","10.10.5.10","1293","10.10.5.13","49234","TCP","69","1293  >  49234 [PSH, ACK] Seq=23 Ack=4138 Win=62780 Len=15","10.10.5.13"
"69","2021-07-20 20:23:25.383298369","PcsCompu_03:cb:a5","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.12","Broadcast"
"70","2021-07-20 20:23:25.385188652","PcsCompu_03:cb:a5","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.12","Broadcast"
"71","2021-07-20 20:23:25.446446391","10.10.5.13","49234","10.10.5.10","1293","TCP","60","49234  >  1293 [ACK] Seq=4138 Ack=38 Win=64203 Len=0","10.10.5.10"
"72","2021-07-20 20:23:25.446472337","10.10.5.10","1293","10.10.5.13","49234","TCP","69","1293  >  49234 [PSH, ACK] Seq=38 Ack=4138 Win=62780 Len=15","10.10.5.13"
"73","2021-07-20 20:23:25.520458449","PcsCompu_df:63:fa","","PcsCompu_03:cb:a5","","ARP","42","Who has 10.10.5.12? Tell 10.10.5.10","PcsCompu_03:cb:a5"
"74","2021-07-20 20:23:25.520779922","PcsCompu_03:cb:a5","","PcsCompu_df:63:fa","","ARP","60","10.10.5.12 is at 08:00:27:03:cb:a5","PcsCompu_df:63:fa"
"75","2021-07-20 20:23:25.649789971","10.10.5.13","49234","10.10.5.10","1293","TCP","60","49234  >  1293 [ACK] Seq=4138 Ack=53 Win=64188 Len=0","10.10.5.10"
"76","2021-07-20 20:23:26.052069780","PcsCompu_03:cb:a5","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.12","Broadcast"
"77","2021-07-20 20:23:27.052148385","PcsCompu_03:cb:a5","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.12","Broadcast"
"78","2021-07-20 20:23:28.706139662","PcsCompu_c8:46:cd","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.13","Broadcast"
"79","2021-07-20 20:23:28.707861270","PcsCompu_c8:46:cd","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.13","Broadcast"
"80","2021-07-20 20:23:29.352983239","PcsCompu_c8:46:cd","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.13","Broadcast"
"81","2021-07-20 20:23:30.329530780","10.10.5.11","49325","10.10.5.10","1291","TCP","4860","49325  >  1291 [PSH, ACK] Seq=4899 Ack=38 Win=64203 Len=4806","10.10.5.10"
"82","2021-07-20 20:23:30.329564093","10.10.5.10","1291","10.10.5.11","49325","TCP","54","1291  >  49325 [ACK] Seq=38 Ack=9705 Win=61320 Len=0","10.10.5.11"
"83","2021-07-20 20:23:30.329767071","10.10.5.10","1291","10.10.5.11","49325","TCP","69","1291  >  49325 [PSH, ACK] Seq=38 Ack=9705 Win=62780 Len=15","10.10.5.11"
"84","2021-07-20 20:23:30.353107697","PcsCompu_c8:46:cd","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.13","Broadcast"
"85","2021-07-20 20:23:30.479620099","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.10? Tell 10.10.5.14","Broadcast"
"86","2021-07-20 20:23:30.479655919","PcsCompu_df:63:fa","","PcsCompu_90:18:5a","","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa","PcsCompu_90:18:5a"
"87","2021-07-20 20:23:30.479932989","10.10.5.14","49236","10.10.5.10","1294","TCP","62","49236  >  1294 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1","10.10.5.10"
"88","2021-07-20 20:23:30.479955336","10.10.5.10","1294","10.10.5.14","49236","TCP","62","1294  >  49236 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1","10.10.5.14"
"89","2021-07-20 20:23:30.480272002","10.10.5.14","49236","10.10.5.10","1294","TCP","60","49236  >  1294 [ACK] Seq=1 Ack=1 Win=64240 Len=0","10.10.5.10"
"90","2021-07-20 20:23:30.480638106","10.10.5.10","1294","10.10.5.14","49236","TCP","76","1294  >  49236 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=22","10.10.5.14"
"91","2021-07-20 20:23:30.488293705","10.10.5.14","49236","10.10.5.10","1294","TCP","2974","49236  >  1294 [ACK] Seq=1 Ack=23 Win=64218 Len=2920","10.10.5.10"
"92","2021-07-20 20:23:30.488316825","10.10.5.10","1294","10.10.5.14","49236","TCP","54","1294  >  49236 [ACK] Seq=23 Ack=2921 Win=62780 Len=0","10.10.5.14"
"93","2021-07-20 20:23:30.488505321","10.10.5.10","1294","10.10.5.14","49236","TCP","69","1294  >  49236 [PSH, ACK] Seq=23 Ack=2921 Win=62780 Len=15","10.10.5.14"
"94","2021-07-20 20:23:30.488535034","10.10.5.14","49236","10.10.5.10","1294","TCP","1272","49236  >  1294 [PSH, ACK] Seq=2921 Ack=23 Win=64218 Len=1218","10.10.5.10"
"95","2021-07-20 20:23:30.488546746","10.10.5.10","1294","10.10.5.14","49236","TCP","54","1294  >  49236 [ACK] Seq=38 Ack=4139 Win=62780 Len=0","10.10.5.14"
"96","2021-07-20 20:23:30.536393819","10.10.5.10","1291","10.10.5.11","49325","TCP","69","[TCP Retransmission] 1291  >  49325 [PSH, ACK] Seq=38 Ack=9705 Win=62780 Len=15","10.10.5.11"
"97","2021-07-20 20:23:30.536797383","10.10.5.11","49325","10.10.5.10","1291","TCP","66","49325  >  1291 [ACK] Seq=9705 Ack=53 Win=64188 Len=0 SLE=38 SRE=53","10.10.5.10"
"98","2021-07-20 20:23:30.685550025","10.10.5.14","49236","10.10.5.10","1294","TCP","60","49236  >  1294 [ACK] Seq=4139 Ack=38 Win=64203 Len=0","10.10.5.10"
"99","2021-07-20 20:23:30.685576437","10.10.5.10","1294","10.10.5.14","49236","TCP","69","1294  >  49236 [PSH, ACK] Seq=38 Ack=4139 Win=62780 Len=15","10.10.5.14"
"100","2021-07-20 20:23:30.848043964","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.14","Broadcast"
"101","2021-07-20 20:23:30.848533913","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.14","Broadcast"
"102","2021-07-20 20:23:30.889627390","10.10.5.14","49236","10.10.5.10","1294","TCP","60","49236  >  1294 [ACK] Seq=4139 Ack=53 Win=64188 Len=0","10.10.5.10"
"103","2021-07-20 20:23:31.436558234","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.14","Broadcast"
"104","2021-07-20 20:23:31.842792121","PcsCompu_c8:46:cd","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.13","Broadcast"
"105","2021-07-20 20:23:31.844371450","PcsCompu_c8:46:cd","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.13","Broadcast"
"106","2021-07-20 20:23:32.353952976","PcsCompu_c8:46:cd","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.13","Broadcast"
"107","2021-07-20 20:23:32.436419705","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.14","Broadcast"
"108","2021-07-20 20:23:33.354532619","PcsCompu_c8:46:cd","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.13","Broadcast"
"109","2021-07-20 20:23:33.987823042","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.14","Broadcast"
"110","2021-07-20 20:23:33.989706988","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.14","Broadcast"
"111","2021-07-20 20:23:34.937349217","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.14","Broadcast"
"112","2021-07-20 20:23:35.483230934","10.10.5.12","49239","10.10.5.10","1292","TCP","4187","49239  >  1292 [PSH, ACK] Seq=4126 Ack=38 Win=64203 Len=4133","10.10.5.10"
"113","2021-07-20 20:23:35.483263466","10.10.5.10","1292","10.10.5.12","49239","TCP","54","1292  >  49239 [ACK] Seq=38 Ack=8259 Win=61320 Len=0","10.10.5.12"
"114","2021-07-20 20:23:35.483468623","10.10.5.10","1292","10.10.5.12","49239","TCP","69","1292  >  49239 [PSH, ACK] Seq=38 Ack=8259 Win=62780 Len=15","10.10.5.12"
"115","2021-07-20 20:23:35.677594342","10.10.5.12","49239","10.10.5.10","1292","TCP","60","49239  >  1292 [ACK] Seq=8259 Ack=53 Win=64188 Len=0","10.10.5.10"
"116","2021-07-20 20:23:35.936164953","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.0? Tell 10.10.5.14","Broadcast"
"117","2021-07-20 20:23:40.250586014","10.10.5.13","49234","10.10.5.10","1293","TCP","4189","49234  >  1293 [PSH, ACK] Seq=4138 Ack=53 Win=64188 Len=4135","10.10.5.10"
"118","2021-07-20 20:23:40.250620361","10.10.5.10","1293","10.10.5.13","49234","TCP","54","1293  >  49234 [ACK] Seq=53 Ack=8273 Win=61320 Len=0","10.10.5.13"
"119","2021-07-20 20:23:40.250888957","10.10.5.10","1293","10.10.5.13","49234","TCP","69","1293  >  49234 [PSH, ACK] Seq=53 Ack=8273 Win=62780 Len=15","10.10.5.13"
"120","2021-07-20 20:23:40.449067945","10.10.5.13","49234","10.10.5.10","1293","TCP","60","49234  >  1293 [ACK] Seq=8273 Ack=68 Win=64173 Len=0","10.10.5.10"
"121","2021-07-20 20:23:45.330441205","10.10.5.11","49325","10.10.5.10","1291","TCP","4852","49325  >  1291 [PSH, ACK] Seq=9705 Ack=53 Win=64188 Len=4798","10.10.5.10"
"122","2021-07-20 20:23:45.330472360","10.10.5.10","1291","10.10.5.11","49325","TCP","54","1291  >  49325 [ACK] Seq=53 Ack=14503 Win=61320 Len=0","10.10.5.11"
"123","2021-07-20 20:23:45.330716886","10.10.5.10","1291","10.10.5.11","49325","TCP","69","1291  >  49325 [PSH, ACK] Seq=53 Ack=14503 Win=62780 Len=15","10.10.5.11"
"124","2021-07-20 20:23:45.491873539","10.10.5.14","49236","10.10.5.10","1294","TCP","4190","49236  >  1294 [PSH, ACK] Seq=4139 Ack=53 Win=64188 Len=4136","10.10.5.10"
"125","2021-07-20 20:23:45.491908630","10.10.5.10","1294","10.10.5.14","49236","TCP","54","1294  >  49236 [ACK] Seq=53 Ack=8275 Win=61320 Len=0","10.10.5.14"
"126","2021-07-20 20:23:45.492121799","10.10.5.10","1294","10.10.5.14","49236","TCP","69","1294  >  49236 [PSH, ACK] Seq=53 Ack=8275 Win=62780 Len=15","10.10.5.14"
"127","2021-07-20 20:23:45.536475450","10.10.5.10","1291","10.10.5.11","49325","TCP","69","[TCP Retransmission] 1291  >  49325 [PSH, ACK] Seq=53 Ack=14503 Win=62780 Len=15","10.10.5.11"
"128","2021-07-20 20:23:45.536782509","10.10.5.11","49325","10.10.5.10","1291","TCP","66","49325  >  1291 [ACK] Seq=14503 Ack=68 Win=64173 Len=0 SLE=53 SRE=68","10.10.5.10"
"129","2021-07-20 20:23:45.702912822","10.10.5.14","49236","10.10.5.10","1294","TCP","60","49236  >  1294 [ACK] Seq=8275 Ack=68 Win=64173 Len=0","10.10.5.10"
"130","2021-07-20 20:23:50.484790322","10.10.5.12","49239","10.10.5.10","1292","TCP","4189","49239  >  1292 [PSH, ACK] Seq=8259 Ack=53 Win=64188 Len=4135","10.10.5.10"
"131","2021-07-20 20:23:50.484824501","10.10.5.10","1292","10.10.5.12","49239","TCP","54","1292  >  49239 [ACK] Seq=53 Ack=12394 Win=61320 Len=0","10.10.5.12"
"132","2021-07-20 20:23:50.485034445","10.10.5.10","1292","10.10.5.12","49239","TCP","69","1292  >  49239 [PSH, ACK] Seq=53 Ack=12394 Win=62780 Len=15","10.10.5.12"
"133","2021-07-20 20:23:50.679483775","10.10.5.12","49239","10.10.5.10","1292","TCP","60","49239  >  1292 [ACK] Seq=12394 Ack=68 Win=64173 Len=0","10.10.5.10"
"134","2021-07-20 20:23:53.793338436","10.10.5.11","138","10.10.5.255","138","BROWSER","220","Become Backup Browser","10.10.5.255"
"135","2021-07-20 20:23:55.055028405","PcsCompu_03:cb:a5","","PcsCompu_df:63:fa","","ARP","60","Who has 10.10.5.10? Tell 10.10.5.12","PcsCompu_df:63:fa"
"136","2021-07-20 20:23:55.055046002","PcsCompu_df:63:fa","","PcsCompu_03:cb:a5","","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa","PcsCompu_03:cb:a5"
"137","2021-07-20 20:23:55.254390926","10.10.5.13","49234","10.10.5.10","1293","TCP","4190","49234  >  1293 [PSH, ACK] Seq=8273 Ack=68 Win=64173 Len=4136","10.10.5.10"
"138","2021-07-20 20:23:55.254427388","10.10.5.10","1293","10.10.5.13","49234","TCP","54","1293  >  49234 [ACK] Seq=68 Ack=12409 Win=61320 Len=0","10.10.5.13"
"139","2021-07-20 20:23:55.254626157","10.10.5.10","1293","10.10.5.13","49234","TCP","69","1293  >  49234 [PSH, ACK] Seq=68 Ack=12409 Win=62780 Len=15","10.10.5.13"
"140","2021-07-20 20:23:55.450626445","10.10.5.13","49234","10.10.5.10","1293","TCP","60","49234  >  1293 [ACK] Seq=12409 Ack=83 Win=64158 Len=0","10.10.5.10"
"141","2021-07-20 20:23:58.019565434","PcsCompu_df:63:fa","","Broadcast","","ARP","42","Who has 91.189.94.4? Tell 10.10.5.10","Broadcast"
"142","2021-07-20 20:23:59.024419238","PcsCompu_df:63:fa","","Broadcast","","ARP","42","Who has 91.189.94.4? Tell 10.10.5.10","Broadcast"
